latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
-7.802,-35.164,306.8,4.4,1.9,2018-12-02,0015,T,49,6.0NRT,289.8,57.1,N
-7.801,-35.169,306.6,4.4,1.9,2018-12-02,0015,T,47,6.0NRT,289.8,60.5,N
-19.931,26.69,308.5,1.9,1.4,2018-12-02,0000,A,75,6.0NRT,290.7,22.8,N
-20.129,25.72,303.6,1.6,1.3,2018-12-02,0000,A,56,6.0NRT,292.5,11.3,N
-31.347,24.835,303.6,2,1.4,2018-12-02,0000,A,56,6.0NRT,275.1,26.4,N
-31.349,24.856,301.4,2,1.4,2018-12-02,0000,A,41,6.0NRT,275.6,22.8,N
-33.272,19.823,303.7,1.1,1.1,2018-12-02,0000,A,57,6.0NRT,286.4,8.8,N
-13.488,-172.3,312.3,2.8,1.6,2018-12-02,0040,A,13,6.0NRT,294.5,29.5,D
-8.288,143.021,315.3,1.4,1.2,2018-12-02,0105,T,63,6.0NRT,297.1,10.3,D
-8.29,143.034,316.2,1.4,1.2,2018-12-02,0105,T,67,6.0NRT,298.6,11.4,D
-8.437,142.893,312.4,1.4,1.2,2018-12-02,0105,T,52,6.0NRT,295.2,6.9,D
-8.056,139.19,326.2,1,1,2018-12-02,0105,T,35,6.0NRT,302.1,11,D
-8.227,140.036,324.5,1,1,2018-12-02,0105,T,0,6.0NRT,302.8,12.2,D
-8.299,140.345,312.7,1,1,2018-12-02,0105,T,0,6.0NRT,288.3,5.6,D
-8.38,140.528,319.6,1,1,2018-12-02,0105,T,47,6.0NRT,300.5,9.5,D
-9.008,143.197,317.3,1.5,1.2,2018-12-02,0105,T,28,6.0NRT,299.7,13.2,D
-8.931,142.062,316.7,1.2,1.1,2018-12-02,0105,T,51,6.0NRT,297.7,12.4,D
-8.354,137.976,317.5,1,1,2018-12-02,0105,T,38,6.0NRT,292.7,8.8,D
-8.865,141.016,324.3,1.1,1,2018-12-02,0105,T,50,6.0NRT,301.2,15.3,D
-8.834,140.731,319.8,1.1,1,2018-12-02,0105,T,59,6.0NRT,299.7,11.1,D
-9.057,141.139,321.9,1.1,1.1,2018-12-02,0105,T,22,6.0NRT,299.5,12.7,D
-10.937,142.274,320.3,1.4,1.2,2018-12-02,0105,T,54,6.0NRT,302.2,13.6,D
-11.764,142.817,340.9,1.5,1.2,2018-12-02,0105,T,85,6.0NRT,300.5,67.3,D
-11.766,142.831,324.6,1.5,1.2,2018-12-02,0105,T,78,6.0NRT,301.2,25.6,D
-11.824,142.746,317.8,1.5,1.2,2018-12-02,0105,T,51,6.0NRT,297.9,13.2,D
-11.826,142.76,316.6,1.5,1.2,2018-12-02,0105,T,22,6.0NRT,300.3,10.6,D
-12.572,143.222,318.2,1.7,1.3,2018-12-02,0105,T,44,6.0NRT,301.6,18.6,D
-11.688,136.178,316,1.1,1.1,2018-12-02,0105,T,38,6.0NRT,302.3,10.7,D
-11.765,136.085,312.5,1.2,1.1,2018-12-02,0105,T,50,6.0NRT,300.6,8.3,D
-11.905,136.384,312.7,1.1,1.1,2018-12-02,0105,T,55,6.0NRT,302.1,8,D
-13.231,143.212,318.9,1.7,1.3,2018-12-02,0105,T,58,6.0NRT,297.7,15.6,D
-11.868,132.735,324.7,1.9,1.3,2018-12-02,0105,T,31,6.0NRT,302.8,26.3,D
